country,rank,area,netChange,worldPercentage,density,densityMi,place
Mayotte,181,374,0.0003,455,898.3824,2326.8103,175
Vanuatu,182,12189,0.0002,455,27.441,71.0722,548
French Guiana,183,83534,0.0002,455,3.7369,9.6785,254
French Polynesia,184,4167,0.0001,455,88.9865,230.4749,258
New Caledonia,185,18575,0.0001,455,16.028,41.5124,540
Barbados,186,430,55,455,655.8023,1698.528,52
Sao Tome and Principe,187,964,0.0001,455,241.5167,625.5282,678
Samoa,188,2842,0.0001,455,81.1802,210.2568,882
Curacao,189,444,48,455,432.6059,1120.4492,531
Saint Lucia,190,616,36,455,295.4934,765.328,662
Guam,191,549,69,455,320.2815,829.529,316
Kiribati,192,811,0.0001,455,164.8333,426.9183,296
Grenada,193,344,55,455,371.1265,961.2176,308
Micronesia,194,702,23,455,164.6057,426.3288,583
Jersey,195,116,22,455,931.6833,2413.0598,832
Tonga,196,747,22,455,149.6847,387.6834,776
Seychelles,197,452,22,455,234.0435,606.1726,690
Aruba,198,180,22,455,590.4278,1529.2079,533
Saint Vincent and the Grenadines,199,389,22,455,265.8923,688.6611,670
United States Virgin Islands,200,347,22,455,284.5821,737.0677,850
Antigua and Barbuda,201,442,22,455,214.3136,555.0723,28
Isle of Man,202,572,22,455,148.614,384.9104,833
Andorra,203,468,26,455,170.4,441.336,20
Dominica,204,751,26,455,97.3867,252.2315,212
Cayman Islands,205,264,26,455,288.7917,747.9704,136
Bermuda,206,54,26,455,1186.463,3072.9391,60
Guernsey,207,78,26,455,1008.6349,2612.3644,831
Greenland,208,2166086,26,455,0.138,0.3574,304
Faroe Islands,209,1393,26,455,38.9971,101.0024,234
Northern Mariana Islands,210,464,26,455,108.2522,280.3731,580
Saint Kitts and Nevis,211,261,26,455,183.6731,475.7133,659
Turks and Caicos Islands,212,948,26,455,48.5886,125.8445,796
Sint Maarten,213,34,26,455,1300.6471,3368.6759,534
American Samoa,214,199,26,455,219.57,568.6863,16
Marshall Islands,215,181,26,455,233.3111,604.2758,584
Liechtenstein,216,160,26,455,247.4,640.766,438
Monaco,217,2.02,26,455,18148.5,47004.615,492
San Marino,218,61,26,455,560.7,1452.213,674
Gibraltar,219,6.8,26,455,4807.0588,12450.2824,292
Saint Martin,220,53,26,455,641.54,1661.5886,663
British Virgin Islands,221,151,888,455,210.2533,544.5561,92
Palau,222,459,888,455,39.2565,101.6744,585
Cook Islands,223,240,888,455,71.0167,183.9332,184
Anguilla,224,91,888,455,174.7143,452.51,660
Nauru,225,21,888,455,639,1655.01,520
Wallis and Futuna,226,274,888,455,41.9781,108.7233,876
Tuvalu,227,26,888,455,379.8667,983.8547,798
Saint Barthelemy,228,21,888,455,439.76,1138.9784,652
Saint Pierre and Miquelon,229,242,888,455,24.1322,62.5025,666
Montserrat,230,102,888,455,43,111.37,500
Falkland Islands,231,12173,888,455,0.3114,0.8066,238
Niue,232,261,888,455,7.4138,19.2017,570
Tokelau,233,12,888,455,189.3,490.287,772
Vatican City,234,0.44,888,455,1177.2727,3049.1364,336
